,pid,p_option,thr,action,belief_c,belief_d,belief_l,confidence,gamma_c,gamma_l,is_coop,is_leave
0,010b07a3080c28aff6e44d00477717b2,A,2,C,28.0,2.0,,90,0.9333333333333333,,True,False
1,010b07a3080c28aff6e44d00477717b2,A,4,C,18.0,12.0,,60,0.6,,True,False
2,010b07a3080c28aff6e44d00477717b2,A,5,D,9.0,21.0,,70,0.3,,False,False
3,010b07a3080c28aff6e44d00477717b2,F,2,L,10.0,15.0,5.0,30,0.4,0.16666666666666666,False,True
4,010b07a3080c28aff6e44d00477717b2,F,4,C,27.0,0.0,3.0,90,1.0,0.1,True,False
5,010b07a3080c28aff6e44d00477717b2,F,5,C,24.0,1.0,5.0,90,0.96,0.16666666666666666,True,False
6,02f920b358163e66a3e0319f75a26d82,A,2,D,12.0,18.0,,30,0.4,,False,False
7,02f920b358163e66a3e0319f75a26d82,A,4,C,20.0,10.0,,40,0.6666666666666666,,True,False
8,02f920b358163e66a3e0319f75a26d82,A,5,C,20.0,10.0,,40,0.6666666666666666,,True,False
9,02f920b358163e66a3e0319f75a26d82,F,2,L,6.0,14.0,10.0,50,0.3,0.3333333333333333,False,True
10,02f920b358163e66a3e0319f75a26d82,F,4,D,15.0,6.0,9.0,20,0.7142857142857143,0.3,False,False
11,02f920b358163e66a3e0319f75a26d82,F,5,C,25.0,2.0,3.0,80,0.9259259259259259,0.1,True,False
12,05b853f259fe00766c7228da4b23a9ae,A,2,C,10.0,20.0,,30,0.3333333333333333,,True,False
13,05b853f259fe00766c7228da4b23a9ae,A,4,C,22.0,8.0,,40,0.7333333333333333,,True,False
14,05b853f259fe00766c7228da4b23a9ae,A,5,C,30.0,0.0,,80,1.0,,True,False
15,05b853f259fe00766c7228da4b23a9ae,F,2,L,6.0,13.0,11.0,50,0.3157894736842105,0.36666666666666664,False,True
16,05b853f259fe00766c7228da4b23a9ae,F,4,D,18.0,5.0,7.0,70,0.782608695652174,0.23333333333333334,False,False
17,05b853f259fe00766c7228da4b23a9ae,F,5,C,18.0,2.0,10.0,60,0.9,0.3333333333333333,True,False
18,07625a4b540595b944249f9f28aa17e9,A,2,C,28.0,2.0,,90,0.9333333333333333,,True,False
19,07625a4b540595b944249f9f28aa17e9,A,4,D,5.0,25.0,,20,0.16666666666666666,,False,False
20,07625a4b540595b944249f9f28aa17e9,A,5,C,28.0,2.0,,70,0.9333333333333333,,True,False
21,07625a4b540595b944249f9f28aa17e9,F,2,C,2.0,10.0,18.0,30,0.16666666666666666,0.6,True,False
22,07625a4b540595b944249f9f28aa17e9,F,4,C,4.0,1.0,25.0,40,0.8,0.8333333333333334,True,False
23,07625a4b540595b944249f9f28aa17e9,F,5,C,8.0,2.0,20.0,10,0.8,0.6666666666666666,True,False
24,07edbd61501dafb8483090fccb40f62e,A,2,D,5.0,25.0,,80,0.16666666666666666,,False,False
25,07edbd61501dafb8483090fccb40f62e,A,4,C,25.0,5.0,,30,0.8333333333333334,,True,False
26,07edbd61501dafb8483090fccb40f62e,A,5,C,30.0,0.0,,100,1.0,,True,False
