,pid,rho,belief_l,belief_c,belief_d,action,game_choice,is_coop,round_number,gamma
0,l2v6d5pn,0.0,5.0,20.0,5.0,D,group,0.0,1,0.8
1,kwzxsgi9,0.5,20.0,9.0,1.0,L,individual,,1,0.45
2,ldr6faci,1.0,0.0,30.0,0.0,C,group,1.0,1,1.0
3,al4lwb89,1.0,5.0,25.0,0.0,C,group,1.0,1,0.8333333333333334
4,dn4poo0a,0.0,5.0,22.0,3.0,C,group,1.0,1,0.88
5,zxwdjba1,0.5,15.0,12.0,3.0,L,individual,,1,0.5333333333333333
6,lcqs4qj4,0.0,0.0,30.0,0.0,C,group,1.0,1,1.0
7,tllzajsm,0.5,0.0,20.0,10.0,C,group,1.0,1,0.6666666666666666
8,67flumth,1.0,1.0,24.0,5.0,C,group,1.0,1,0.8
9,ea60h48j,1.0,15.0,5.0,10.0,L,individual,,1,0.16666666666666666
10,ix7asj0v,0.0,10.0,17.0,3.0,C,group,1.0,1,0.85
11,8ecp5lea,0.5,15.0,15.0,0.0,L,individual,,1,0.6666666666666666
12,j0ypmnp8,0.0,5.0,20.0,5.0,C,group,1.0,1,0.8
13,a0fnnv8n,0.5,20.0,2.0,8.0,L,individual,,1,0.1
14,lu0fobgr,1.0,20.0,4.0,6.0,L,individual,,1,0.13333333333333333
15,0sop0jc2,1.0,5.0,20.0,5.0,C,group,1.0,1,0.6666666666666666
16,3897oly7,0.0,10.0,18.0,2.0,C,group,1.0,1,0.9
17,35nvp0ot,0.5,20.0,10.0,0.0,L,individual,,1,0.5
18,hbe6k6rw,0.0,20.0,10.0,0.0,C,group,1.0,1,1.0
19,k7z30bj9,0.5,5.0,20.0,5.0,C,group,1.0,1,0.7272727272727273
20,icg1dove,1.0,10.0,10.0,10.0,C,group,1.0,1,0.3333333333333333
21,pybpsxur,1.0,26.0,4.0,0.0,L,individual,,1,0.13333333333333333
22,2t7yuhwz,0.0,15.0,15.0,0.0,L,individual,,1,1.0
23,sgrb8j3x,0.5,26.0,4.0,0.0,L,individual,,1,0.23529411764705882
24,r8mg7oiu,0.0,10.0,17.0,3.0,C,group,1.0,1,0.85
25,pn8jwehg,0.5,30.0,0.0,0.0,L,individual,,1,0.0
26,mapsb6p5,1.0,7.0,20.0,3.0,L,individual,,1,0.6666666666666666
27,yaquwi4i,1.0,6.0,16.0,8.0,C,group,1.0,1,0.5333333333333333
28,bzf9xp73,0.0,7.0,20.0,3.0,L,individual,,1,0.8695652173913043
29,8w0zj73o,0.5,7.0,17.0,6.0,C,group,1.0,1,0.6415094339622641
30,hd3901uj,0.0,15.0,10.0,5.0,C,group,1.0,1,0.6666666666666666
31,uie4dlxc,0.5,6.0,20.0,4.0,C,group,1.0,1,0.7407407407407407
32,l2v6d5pn,1.0,20.0,5.0,5.0,L,individual,,2,0.16666666666666666
33,kwzxsgi9,1.0,22.0,8.0,0.0,L,individual,,2,0.26666666666666666
34,ldr6faci,0.5,0.0,30.0,0.0,C,group,1.0,2,1.0
35,al4lwb89,0.0,0.0,30.0,0.0,C,group,1.0,2,1.0
36,dn4poo0a,0.5,10.0,10.0,10.0,L,individual,,2,0.4
37,zxwdjba1,0.0,5.0,20.0,5.0,C,group,1.0,2,0.8
38,lcqs4qj4,1.0,24.0,6.0,0.0,L,individual,,2,0.2
39,tllzajsm,1.0,5.0,20.0,5.0,C,group,1.0,2,0.6666666666666666
40,67flumth,0.5,0.0,27.0,3.0,C,group,1.0,2,0.9
41,ea60h48j,0.0,10.0,15.0,5.0,C,group,1.0,2,0.75
42,ix7asj0v,0.5,20.0,6.0,4.0,L,individual,,2,0.3
43,8ecp5lea,0.0,0.0,30.0,0.0,C,group,1.0,2,1.0
44,j0ypmnp8,1.0,10.0,10.0,10.0,L,individual,,2,0.3333333333333333
45,a0fnnv8n,1.0,30.0,0.0,0.0,L,individual,,2,0.0
46,lu0fobgr,0.5,18.0,6.0,6.0,L,individual,,2,0.2857142857142857
47,0sop0jc2,0.0,2.0,27.0,1.0,D,group,0.0,2,0.9642857142857143
